source,img_idx,model,noise_idx,mse_t1,mse_t11,mse_t21,mse_t31,mse_t41,mse_t51,mse_t61,mse_t71,mse_t81,mse_t91,mse_t101,mse_t111,mse_t121,mse_t131,mse_t141,mse_t151,mse_t161,mse_t171,mse_t181,mse_t191,mse_t201,mse_t211,mse_t221,mse_t231,mse_t241
SD1.3,3,SD1.4,6,0.8911132812,0.6884765625,0.6040039062,0.5502929688,0.5131835938,0.4833984375,0.4584960938,0.4370117188,0.4177246094,0.4011230469,0.3857421875,0.3715820312,0.3583984375,0.3469238281,0.3356933594,0.3254394531,0.3159179688,0.3068847656,0.2983398438,0.2897949219,0.2817382812,0.2736816406,0.2661132812,0.2585449219,0.2512207031
SD1.3,3,SD1.4,7,0.8872070312,0.6894531250,0.6069335938,0.5546875000,0.5175781250,0.4880371094,0.4631347656,0.4418945312,0.4228515625,0.4064941406,0.3913574219,0.3774414062,0.3645019531,0.3527832031,0.3415527344,0.3310546875,0.3210449219,0.3117675781,0.3029785156,0.2941894531,0.2858886719,0.2780761719,0.2707519531,0.2631835938,0.2558593750
SD1.3,3,SD1.4,8,0.8901367188,0.6806640625,0.5957031250,0.5424804688,0.5043945312,0.4741210938,0.4489746094,0.4274902344,0.4089355469,0.3925781250,0.3779296875,0.3645019531,0.3520507812,0.3408203125,0.3300781250,0.3203125000,0.3110351562,0.3022460938,0.2941894531,0.2863769531,0.2788085938,0.2712402344,0.2644042969,0.2575683594,0.2507324219
SD1.3,3,SD1.4,9,0.8896484375,0.6787109375,0.5937500000,0.5410156250,0.5048828125,0.4758300781,0.4516601562,0.4311523438,0.4130859375,0.3977050781,0.3840332031,0.3715820312,0.3598632812,0.3496093750,0.3395996094,0.3303222656,0.3215332031,0.3134765625,0.3056640625,0.2978515625,0.2902832031,0.2827148438,0.2756347656,0.2683105469,0.2612304688
SD1.3,3,SD1.4,10,0.8955078125,0.6884765625,0.6035156250,0.5483398438,0.5097656250,0.4792480469,0.4543457031,0.4333496094,0.4150390625,0.3996582031,0.3854980469,0.3725585938,0.3605957031,0.3498535156,0.3393554688,0.3293457031,0.3200683594,0.3107910156,0.3022460938,0.2937011719,0.2856445312,0.2778320312,0.2705078125,0.2631835938,0.2561035156
SD1.3,3,SD1.4,11,0.8779296875,0.6811523438,0.5971679688,0.5439453125,0.5068359375,0.4777832031,0.4533691406,0.4323730469,0.4138183594,0.3979492188,0.3833007812,0.3696289062,0.3566894531,0.3449707031,0.3337402344,0.3234863281,0.3137207031,0.3046875000,0.2961425781,0.2878417969,0.2797851562,0.2719726562,0.2648925781,0.2575683594,0.2504882812
SD1.3,3,SD1.4,12,0.8881835938,0.6855468750,0.5986328125,0.5434570312,0.5053710938,0.4758300781,0.4514160156,0.4304199219,0.4121093750,0.3962402344,0.3818359375,0.3686523438,0.3562011719,0.3449707031,0.3339843750,0.3237304688,0.3137207031,0.3041992188,0.2954101562,0.2866210938,0.2780761719,0.2700195312,0.2626953125,0.2551269531,0.2481689453
SD1.3,3,SD1.4,13,0.8837890625,0.6767578125,0.5917968750,0.5380859375,0.5004882812,0.4707031250,0.4462890625,0.4255371094,0.4074707031,0.3918457031,0.3776855469,0.3647460938,0.3525390625,0.3417968750,0.3312988281,0.3215332031,0.3122558594,0.3034667969,0.2951660156,0.2868652344,0.2788085938,0.2707519531,0.2636718750,0.2561035156,0.2490234375
SD1.3,3,SD1.4,14,0.8813476562,0.6757812500,0.5908203125,0.5371093750,0.4997558594,0.4702148438,0.4458007812,0.4252929688,0.4072265625,0.3918457031,0.3779296875,0.3647460938,0.3522949219,0.3413085938,0.3303222656,0.3203125000,0.3107910156,0.3020019531,0.2937011719,0.2856445312,0.2778320312,0.2702636719,0.2631835938,0.2558593750,0.2489013672
SD1.3,3,SD1.4,15,0.8657226562,0.6723632812,0.5908203125,0.5380859375,0.5009765625,0.4714355469,0.4470214844,0.4260253906,0.4079589844,0.3925781250,0.3786621094,0.3657226562,0.3540039062,0.3435058594,0.3330078125,0.3234863281,0.3142089844,0.3051757812,0.2966308594,0.2880859375,0.2800292969,0.2719726562,0.2644042969,0.2568359375,0.2495117188
